leagueId,tier,number
0003dc0a-d06f-4a0f-872f-bfcc4f526f90,IRON,24
0005c9e5-61a5-488a-9bfc-dade2f25e406,GOLD,199
0009901b-f9b9-40ec-9aaf-48b0ba0c2530,SILVER,190
000e4a54-7331-4951-a1a9-c7a6b0c4b98f,GOLD,94
000fa54e-619a-4289-b69e-961e0a0ee289,BRONZE,131
00111f82-0366-4121-8698-fd7fd4ca8f1d,BRONZE,117
00112302-ca78-470d-a63a-9b5563d47402,BRONZE,63
0012bcb9-e889-4f74-b390-96d486923c62,BRONZE,131
001375d3-0651-41ee-8dd5-534c7af1b492,IRON,97
0017eb01-8220-4594-83d2-16635cf0d94f,SILVER,80
0019a9f0-c76b-4b78-a3bd-9b50692bc9b0,BRONZE,113
001f8591-640b-40dd-9ac7-8ea1283d1190,SILVER,101
0022b169-5615-4dc6-b3bc-8f2cda99e79b,PLATINUM,200
0023d7cb-16e2-4595-9fe3-c0edd24405fc,PLATINUM,200
00270a1d-a3dd-4679-946c-ae8f86563a21,SILVER,121
0027e350-b165-4ebd-b520-7518c533f6b5,SILVER,100
002e942a-44ae-4000-9d94-e824ea1a8ece,BRONZE,69
00306a69-95af-413d-a793-94cb1611d0ef,SILVER,184
003407a2-6fe2-4bb2-8fa3-de6a65383f37,BRONZE,106
00363b65-756f-4a0f-ae94-e575a16a9c37,SILVER,190
0036f3ee-e2b6-43b7-9fb2-20e8aea8a532,GOLD,199
0038809d-48e1-43f3-ae86-1523b3598e12,GOLD,196
0038afb2-97f0-48fe-9d2d-d00af70f9b16,SILVER,102
0038bd18-18c4-4ebc-9583-db1327072d5c,GOLD,174
003a821a-1024-4ab1-8155-0c7c202a2914,SILVER,182
003cf8d4-aa32-4b46-ace9-9139b3186e5c,SILVER,192
0042a38d-791d-413d-a1ad-79a528304d5b,SILVER,119
0043766b-238b-4be0-bd8f-108dd762629b,GOLD,98
0044a04a-f054-458e-a2fa-c702728dedce,SILVER,141
004deb6c-1011-4766-b4e9-a703429d7d5d,SILVER,184
00503109-293f-4aa7-bb05-06a18bc2eb65,BRONZE,30
0050bfb9-391a-4e4f-842c-7d858c615f38,BRONZE,48
005110d9-56c4-4941-8184-bcdbdab394b9,BRONZE,130
00513db6-a7c2-4847-a849-3b80d1eb9dc2,GOLD,198
005434fd-f2f4-4420-b0a3-84d45051d282,BRONZE,135
0054c3e2-fc61-4f26-b432-8a5d1a6a5cdf,SILVER,190
0056799b-03b9-4248-876b-520a0fd876c4,SILVER,158
0058a6ae-1e70-4bdc-bf6c-5bae010b82e1,SILVER,104
005f003b-cec3-47bb-bb0e-adb4ebb00f23,GOLD,199
005f9d44-c73b-4e9b-b153-465b2815a4c7,SILVER,189
0061eb9b-4852-49ca-8ab2-95c3f65b984e,SILVER,123
00642795-b2e8-4722-a35c-c4a96942691e,GOLD,173
00649077-9fae-46e5-b392-b080d6588661,IRON,40
0065ec4a-7792-478b-a71b-3d862cc55b97,BRONZE,142
00661fe6-7fcf-420d-a02c-be294d3ac6aa,BRONZE,106
00683cb5-b162-446f-bfb1-d151f06ca43b,IRON,6
006b9ded-a68e-4492-982e-3cfe0b5b6f70,BRONZE,53
00711190-33ff-479e-9321-e5efc00e1b76,BRONZE,124
00743e39-e19b-4f1d-8433-0e54a537ccd1,PLATINUM,203
0074f559-9549-48bc-b497-8ae0fe018af3,SILVER,115
0075eab2-b85d-4b06-a4ab-ff98fefa9198,BRONZE,45
0079295b-6746-4557-99e6-f0523bcceddc,BRONZE,148
007ed2f2-1800-4d16-abfb-3bae883e6b82,BRONZE,30
00819eef-d938-4fa4-a7c5-4b6b6358d027,GOLD,119
0083282e-0aaf-4b97-acbd-bb5e2c4d5c62,SILVER,188
00859f0b-0dc8-44ce-979a-efef70637914,SILVER,193
00882f77-f9fa-4ff0-b663-cfdeb2583ae1,BRONZE,115
0088aa4b-550a-463b-b9d6-0fbdee6f75ec,BRONZE,43
0088b66f-0a5d-4e04-9f70-355ff93be683,BRONZE,21
00893ffd-7dc2-4f00-a312-8c36431491eb,PLATINUM,196
008b4604-5377-4fd8-ac6e-7f0eb9df85c5,SILVER,158
008cc8a5-ead0-41f6-a5e1-96b6400e26c8,BRONZE,65
008da363-45af-4a07-87d2-f22567e27213,SILVER,169
008e32a9-81dc-47ae-825f-06455e201fab,GOLD,200
0097beb9-bfc0-4e14-b061-be5e68300c14,BRONZE,106
0099a344-e247-4f42-a045-2f1f8755b87b,BRONZE,68
009dbd27-1465-4743-b486-8e66433fd198,SILVER,174
009f117e-e151-4fce-b341-05e98b041f7e,BRONZE,119
009f1f76-0b96-484d-9e15-4ad585fd1aa3,BRONZE,133
009f9f74-d0e4-40fd-832f-3660936358e6,SILVER,177
00a56440-243d-4588-8e38-6c6c2126ab77,IRON,13
00a8b7ef-4bdd-4d17-8710-9d546017b3dc,SILVER,158
00a98d5a-293a-47c8-8d77-9a94a7bdd2da,IRON,21
00aa7afa-adb9-400b-821a-77f82df3548c,BRONZE,32
00b1ba5f-95d6-41c4-8f33-79e74030fc47,IRON,54
00b5a81a-bdd1-4106-83aa-b480bbf0dc54,SILVER,189
00b5c759-8c0c-4e14-a7f6-751f42dd0d83,SILVER,101
00b5e3b6-ae5e-476b-9fb3-3c349e3745e0,SILVER,162
00b6acb6-6192-4457-8bb1-b3b387a3032f,SILVER,187
00b7af43-f90a-4095-8b06-84718626b2cf,IRON,40
00b8f1e7-0a82-4c7a-b374-261b10df2d93,SILVER,167
00bc099c-8969-4154-9345-e06667c29e49,SILVER,163
00bf2869-d705-45f1-8aac-dbe02cf52c47,BRONZE,86
00c06e19-6fcd-4c94-8f81-bf1961a46340,BRONZE,130
00c2396f-fd7a-4a78-8e11-7c729940645b,IRON,25
00c29fee-ac39-4c75-80df-4267de6b3cd9,GOLD,196
00c37d14-4c74-49bd-81b4-0dc24addee9f,SILVER,91
00c4d8d8-004d-43f6-a576-ecb816b304ca,BRONZE,124
00c4fd70-fa64-4ef9-8d34-c82d85ab4378,IRON,33
00c5355c-d285-4056-a3a1-9b775bc3fd0a,SILVER,103
00c67bff-3959-40de-b455-45c5b8d59fbe,SILVER,115
00c94bf0-7540-451d-bb6e-b5adc328e5e3,SILVER,88
00c97370-668d-475c-9d40-604e489ad69e,IRON,20
00d0871e-b89d-4910-b248-c4302d99a869,GOLD,196
00d2a3a6-dc13-4139-841c-2ebba64755b5,GOLD,197
00d95530-5943-4233-8771-b111fd7892c2,SILVER,82
00db3023-541b-4caa-af94-a594ab2cfe4d,SILVER,187
00de0030-651f-45d3-bd4d-f831be912214,GOLD,194
00de013a-9e09-45a0-b364-fc14c4ef3444,GOLD,106
00de6a56-c921-4752-b23e-2208e921b38c,GOLD,195
00dfd85e-8e84-4034-af5a-b2b910966283,SILVER,150
00e0fc91-efdb-40dd-ad25-140f47703800,BRONZE,99
00e54743-0dc3-45e0-a1bd-ffe4f939d874,SILVER,77
00e7ef12-5e6c-4ba2-8869-f53b503b8ac7,BRONZE,96
00ed0703-3e12-40bf-8875-10de90fc9f7f,PLATINUM,205
00f0f52f-2bd2-44d0-a4e7-93ad64c92b14,GOLD,95
00f3e0ad-cbd6-4a1d-bf42-8256e4a10fdb,IRON,18
00f481f6-5cf7-4ab4-87a2-589fef1c4295,GOLD,198
00f503a5-bc32-431c-9719-7280b4bef6f4,SILVER,57
00f5986c-3782-449b-ba64-16a6d3c4b427,BRONZE,43
00f6889a-1faf-4086-b26f-d8567c1200b5,BRONZE,61
00f68f9c-8f38-43ad-92a4-6dc4c04a6c83,SILVER,101
00f8ad96-56d6-4e8d-b396-ab609f3b1756,GOLD,197
00f8d812-92e7-41e8-9f12-e1b7f1d1875a,SILVER,159
00fdb790-d044-43fc-a895-afe5bca064cb,SILVER,191
00fefa4b-81d1-40ea-9142-d16d7a5ba638,SILVER,78
01003c7d-4f24-44f1-9310-79808c652a8d,SILVER,164
01027436-9b84-4896-b89f-5ee12b78b18b,SILVER,176
01037b06-9c2f-4905-888f-7ccb443d61a3,SILVER,160
010da9fa-8475-42b4-8b28-635a5f05f8c6,BRONZE,156
010eb162-54ad-4117-b89f-983af67ce8b2,SILVER,68
01157068-3042-4ad7-b155-86f41edd63ba,SILVER,180
011716cf-0484-4ca7-a4be-b5bfc08327e0,SILVER,84
01179368-2668-4474-9766-b340bbe5a68d,SILVER,198
0118f85f-7aa5-4529-829b-4b4270d0c68a,BRONZE,121
011c1c68-3308-49a7-9017-eeff44b6bbf9,SILVER,158
011d7dbe-d526-4216-8252-2c504b29ebb3,BRONZE,117
011dd332-3415-43a8-be4b-13438be27753,BRONZE,39
0125c0c8-288b-42b8-a04a-f5b81a416616,SILVER,189
012cada9-7135-4826-b795-072b64631b37,GOLD,245
012e9f65-be28-410e-abe8-c527cabd4b41,IRON,53
013248db-e01d-4b2b-9139-f11a69ad6a09,BRONZE,95
0135eddb-790f-4cef-9426-26af7205263e,PLATINUM,197
013986a1-e549-4ec9-bb5e-13eed30e56d6,SILVER,193
013bce0d-8560-4614-85f6-985952255e7a,SILVER,189
013c8b8f-025f-4892-8a3d-01ce735de3b4,SILVER,186
013dc72a-8040-4c84-a7ed-f5c9de81b6b2,SILVER,95
01424092-5f30-409b-b724-e77a6459cadf,SILVER,160
014276b4-c751-453f-ae2d-7b8e3bb8e151,GOLD,200
0146205e-4737-40bb-b08d-51198fd8f552,GOLD,219
0148f034-45e6-4087-8e81-53320b29e608,BRONZE,34
014a3622-5155-47f8-944f-403ba48c1b90,IRON,60
014bbaa3-0dbd-41df-aa95-25c91492e9e7,SILVER,97
014cb99e-ee7e-4090-9c2a-b84c0d5cebee,BRONZE,142
0152516a-1f74-41ab-9f05-f523e7442140,BRONZE,111
01545bff-0cff-4825-8366-3204d884bf2a,BRONZE,44
